ae train,ae test,ae mel,ae perc,ae kld,beta,lr
5.298849,2.9163153,0.8459535,1.2735862,14.3783655,0.0,0.0001
2.6930466,2.61368,0.1782225,0.8989961,17.216478,0.0,0.0001
2.4822013,2.4418964,0.15643825,0.8364423,19.722406,0.0,0.0001
2.361289,2.2981796,0.14702418,0.79749143,21.334743,0.0,0.0001
2.2736301,2.2124166,0.13991925,0.7695328,22.49249,0.0,0.0001
2.2022784,2.1657038,0.13380313,0.74710816,23.442017,0.0,0.0001
2.1499252,2.1216807,0.1300912,0.7298789,24.117971,0.0,0.0001
2.097399,2.0712452,0.12621908,0.71274054,24.710342,0.0,0.0001
2.0571988,2.0241048,0.12393395,0.6989455,25.082756,0.0,0.0001
2.0133991,2.0234127,0.12088215,0.68447745,25.569868,0.0,0.0001
1.981265,1.9924045,0.118567735,0.6739382,25.978502,0.0,0.0001
1.9505016,1.9367578,0.116761394,0.6634392,26.703154,0.0,0.0001
1.9285696,1.9418167,0.11547195,0.6559559,27.051031,0.0,0.0001
1.9008853,1.8869431,0.11301282,0.6473413,27.569984,0.0,0.0001
1.8837548,1.8816108,0.11164399,0.6418579,27.962593,0.0,0.0001
1.8685378,1.8466784,0.11088875,0.63652635,28.271496,0.0,0.0001
1.8525805,1.8335727,0.10916179,0.6318705,28.103722,0.0,0.0001
1.8370912,1.826311,0.107120305,0.6277162,28.264196,0.0,0.0001
1.814824,1.791375,0.104716584,0.62121296,29.332026,0.0,0.0001
1.7995623,1.7907118,0.10334233,0.6164826,30.29088,0.0,0.0001
1.7874384,1.80749,0.10224371,0.6127317,31.108791,0.0,0.0001
1.8163875,1.7668052,0.104491755,0.6164538,8.414203,0.0016666666666666668,0.0001
1.803777,1.826163,0.10295018,0.61179334,5.075422,0.0033333333333333335,0.0001
1.8032348,1.7878458,0.10265664,0.61005205,4.29259,0.005000000000000001,0.0001
1.8059963,1.7879696,0.102591805,0.60942966,3.8913732,0.006666666666666667,0.0001
1.7992011,1.8296276,0.10168338,0.60591763,3.6238174,0.008333333333333333,0.0001
1.8069988,1.7945117,0.10209629,0.60693324,3.4425006,0.010000000000000002,0.0001
1.8068871,1.768507,0.10206673,0.6053406,3.2887638,0.011666666666666667,0.0001
1.8051496,1.8532642,0.101438746,0.6037939,3.1550856,0.013333333333333334,0.0001
1.8049481,1.805409,0.101232365,0.6024917,3.042532,0.015000000000000001,0.0001
1.8080915,1.8108444,0.10131923,0.60230297,2.9421637,0.016666666666666666,0.0001
1.810912,1.8055819,0.10140561,0.6020529,2.8508575,0.018333333333333333,0.0001
1.811522,1.8150265,0.10125296,0.60120386,2.7690063,0.020000000000000004,0.0001
1.8116808,1.8148187,0.10104422,0.60030967,2.690581,0.021666666666666667,0.0001
